Date,Team 1,FT,HT,Team 2
11/05/2025,Liverpool,2-2,2-0,Arsenal
16/05/2025,Aston Villa,2-0,0-0,Tottenham
16/05/2025,Chelsea,1-0,0-0,Man United
18/05/2025,Everton,2-0,2-0,Southampton
18/05/2025,West Ham,1-2,0-1,Nott'm Forest
18/05/2025,Brentford,2-3,2-1,Fulham
18/05/2025,Leicester,2-0,1-0,Ipswich
18/05/2025,Arsenal,1-0,0-0,Newcastle
19/05/2025,Brighton,3-2,1-2,Liverpool
20/05/2025,Crystal Palace,4-2,2-1,Wolves
20/05/2025,Man City,3-1,2-0,Bournemouth
25/05/2025,Bournemouth,2-0,0-0,Leicester
25/05/2025,Fulham,0-2,0-1,Man City
25/05/2025,Ipswich,1-3,0-1,West Ham
25/05/2025,Liverpool,1-1,0-1,Crystal Palace
25/05/2025,Man United,2-0,0-0,Aston Villa
25/05/2025,Newcastle,0-1,0-0,Everton
25/05/2025,Nott'm Forest,0-1,0-0,Chelsea
25/05/2025,Southampton,1-2,0-1,Arsenal
25/05/2025,Tottenham,1-4,1-0,Brighton
25/05/2025,Wolves,1-1,0-1,Brentford
